date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:55:05	52348/52348	---MC-	200	added ('OK')	text/html	date:Thu,%2011%20May%202023%2015:55:05%20GMT	https://www.happypointcard.com/page/main/index.spc	C:/Users/HANABAE/Desktop/happyPoint/happyPoint/www.happypointcard.com/page/main/index.html	(from )
00:55:06	3169/3169	---M--	200	added ('OK')	image/png	etag:%222443748c7155f8eb69fbb23d7631b2cf%22	https://front.happypointcard.com/upfiles/appMain/resources/ha-web/images/shared/favicon.png	C:/Users/HANABAE/Desktop/happyPoint/happyPoint/front.happypointcard.com/upfiles/appMain/resources/ha-web/images/shared/favicon.png	(from https://www.happypointcard.com/page/main/index.spc)
00:55:06	255525/255525	---M--	200	added ('OK')	text/css	date:Wed,%2007%20Dec%202022%2006:45:36%20GMT	https://www.happypointcard.com/assets/pc/css/common.css?v=2023051200	C:/Users/HANABAE/Desktop/happyPoint/happyPoint/www.happypointcard.com/assets/pc/css/common9846.css	(from https://www.happypointcard.com/page/main/index.spc)
00:55:06	2536/2536	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Jan%202023%2005:12:24%20GMT	https://www.happypointcard.com/assets/pc/css/vendors/uniform.custom.css	C:/Users/HANABAE/Desktop/happyPoint/happyPoint/www.happypointcard.com/assets/pc/css/vendors/uniform.custom.css	(from https://www.happypointcard.com/page/main/index.spc)
00:55:06	4944/4944	---M--	200	added ('OK')	text/css	date:Tue,%2021%20Dec%202021%2011:31:10%20GMT	https://www.happypointcard.com/assets/shared/js/plugins/jquery.selectric-1.11.1/selectric.css	C:/Users/HANABAE/Desktop/happyPoint/happyPoint/www.happypointcard.com/assets/shared/js/plugins/jquery.selectric-1.11.1/selectric.css	(from https://www.happypointcard.com/page/main/index.spc)
00:55:07	1767/1767	---M--	200	added ('OK')	text/css	date:Tue,%2021%20Dec%202021%2011:31:10%20GMT	https://www.happypointcard.com/assets/shared/js/plugins/slick-1.8.0/slick.css	C:/Users/HANABAE/Desktop/happyPoint/happyPoint/www.happypointcard.com/assets/shared/js/plugins/slick-1.8.0/slick.css	(from https://www.happypointcard.com/page/main/index.spc)
00:55:07	415/415	---M--	200	added ('OK')	text/css	date:Tue,%2021%20Dec%202021%2011:31:10%20GMT	https://www.happypointcard.com/assets/shared/css/dev.css	C:/Users/HANABAE/Desktop/happyPoint/happyPoint/www.happypointcard.com/assets/shared/css/dev.css	(from https://www.happypointcard.com/page/main/index.spc)
00:55:07	3509/3509	---M--	200	added ('OK')	text/css	date:Tue,%2021%20Dec%202021%2011:31:10%20GMT	https://www.happypointcard.com/assets/pc/js/plugins/datepicker-1.0.9/datepicker.min.css	C:/Users/HANABAE/Desktop/happyPoint/happyPoint/www.happypointcard.com/assets/pc/js/plugins/datepicker-1.0.9/datepicker.min.css	(from https://www.happypointcard.com/page/main/index.spc)
00:55:07	22255/22255	---M--	200	added ('OK')	text/css	date:Tue,%2021%20Dec%202021%2011:31:10%20GMT	https://www.happypointcard.com/assets/pc/js/plugins/swiper/swiper.css	C:/Users/HANABAE/Desktop/happyPoint/happyPoint/www.happypointcard.com/assets/pc/js/plugins/swiper/swiper.css	(from https://www.happypointcard.com/page/main/index.spc)
00:55:08	124740/124740	---M--	200	added ('OK')	application/javascript	date:Tue,%2021%20Dec%202021%2011:31:10%20GMT	https://www.happypointcard.com/assets/pc/js/plugins/swiper/swiper.min.js	C:/Users/HANABAE/Desktop/happyPoint/happyPoint/www.happypointcard.com/assets/pc/js/plugins/swiper/swiper.min.js	(from https://www.happypointcard.com/page/main/index.spc)
00:55:08	1937/1937	---M--	200	added ('OK')	image/png	etag:%220684dd6565d397436e5dbeeeefed8d5f%22	https://front.happypointcard.com/upfiles/appMain/resources/ha-web/images/pc/common/layout/logo-header.png	C:/Users/HANABAE/Desktop/happyPoint/happyPoint/front.happypointcard.com/upfiles/appMain/resources/ha-web/images/pc/common/layout/logo-header.png	(from https://www.happypointcard.com/page/main/index.spc)
00:55:08	48554/48554	---M--	200	added ('OK')	image/png	etag:%22ab94d19d5599028347da1bfe7754c9fc%22	https://front.happypointcard.com/upfiles/appMain/resources/ha-web/images/pc/common/layout/img-allmenu-side.png	C:/Users/HANABAE/Desktop/happyPoint/happyPoint/front.happypointcard.com/upfiles/appMain/resources/ha-web/images/pc/common/layout/img-allmenu-side.png	(from https://www.happypointcard.com/page/main/index.spc)
00:55:08	2315/2315	---M--	200	added ('OK')	image/png	etag:%22090ae450e00bd7c7c12633b56540aab0%22	https://front.happypointcard.com/upfiles/appMain/resources/ha-web/images/pc/partner/icon-popup-shopping.png	C:/Users/HANABAE/Desktop/happyPoint/happyPoint/front.happypointcard.com/upfiles/appMain/resources/ha-web/images/pc/partner/icon-popup-shopping.png	(from https://www.happypointcard.com/page/main/index.spc)
00:55:08	74548/74548	---M--	200	added ('OK')	image/png	etag:%222994002879ebec1a79811b5e1666f047%22	https://front.happypointcard.com/upfiles/appMain/banner/normal/2020110509470336271811046109.png	C:/Users/HANABAE/Desktop/happyPoint/happyPoint/front.happypointcard.com/upfiles/appMain/banner/normal/2020110509470336271811046109.png	(from https://www.happypointcard.com/page/main/index.spc)
00:55:09	125987/125987	---M--	200	added ('OK')	image/png	etag:%2220ee882588ac47a982e5ed22e9abfba7%22	https://front.happypointcard.com/upfiles/appMain/banner/normal/2020110502481711145321665417.png	C:/Users/HANABAE/Desktop/happyPoint/happyPoint/front.happypointcard.com/upfiles/appMain/banner/normal/2020110502481711145321665417.png	(from https://www.happypointcard.com/page/main/index.spc)
